frame_index,kp0_x,kp0_y,kp0_z,kp0_conf,kp1_x,kp1_y,kp1_z,kp1_conf,kp2_x,kp2_y,kp2_z,kp2_conf,kp3_x,kp3_y,kp3_z,kp3_conf,kp4_x,kp4_y,kp4_z,kp4_conf,kp5_x,kp5_y,kp5_z,kp5_conf,kp6_x,kp6_y,kp6_z,kp6_conf,kp7_x,kp7_y,kp7_z,kp7_conf,kp8_x,kp8_y,kp8_z,kp8_conf,kp9_x,kp9_y,kp9_z,kp9_conf,kp10_x,kp10_y,kp10_z,kp10_conf,kp11_x,kp11_y,kp11_z,kp11_conf,kp12_x,kp12_y,kp12_z,kp12_conf,kp13_x,kp13_y,kp13_z,kp13_conf,kp14_x,kp14_y,kp14_z,kp14_conf,kp15_x,kp15_y,kp15_z,kp15_conf,kp16_x,kp16_y,kp16_z,kp16_conf,kp17_x,kp17_y,kp17_z,kp17_conf,kp18_x,kp18_y,kp18_z,kp18_conf,kp19_x,kp19_y,kp19_z,kp19_conf,kp20_x,kp20_y,kp20_z,kp20_conf,kp21_x,kp21_y,kp21_z,kp21_conf,kp22_x,kp22_y,kp22_z,kp22_conf,kp23_x,kp23_y,kp23_z,kp23_conf,kp24_x,kp24_y,kp24_z,kp24_conf,kp25_x,kp25_y,kp25_z,kp25_conf,kp26_x,kp26_y,kp26_z,kp26_conf,kp27_x,kp27_y,kp27_z,kp27_conf,kp28_x,kp28_y,kp28_z,kp28_conf,kp29_x,kp29_y,kp29_z,kp29_conf,kp30_x,kp30_y,kp30_z,kp30_conf,kp31_x,kp31_y,kp31_z,kp31_conf,kp32_x,kp32_y,kp32_z,kp32_conf
0,0.81235,0.46737,-0.26135,1.0,0.81783,0.44013,-0.24367,1.0,0.81717,0.43796,-0.24373,1.0,0.81647,0.43552,-0.24381,1.0,0.81557,0.43872,-0.30106,1.0,0.81309,0.43567,-0.30113,1.0,0.81026,0.43219,-0.30118,1.0,0.79017,0.41589,-0.12386,1.0,0.78312,0.414,-0.38125,1.0,0.79645,0.47864,-0.20882,1.0,0.79351,0.47536,-0.2834,1.0,0.70224,0.47979,0.07438,1.0,0.66196,0.48468,-0.46249,1.0,0.67667,0.63069,0.16851,0.471,0.5927,0.67545,-0.49632,0.995,0.70025,0.77934,0.06949,0.745,0.63969,0.85953,-0.4972,0.997,0.73165,0.79241,0.06581,0.759,0.67035,0.87788,-0.57378,0.995,0.72874,0.79714,0.00826,0.774,0.68097,0.86343,-0.54597,0.994,0.714,0.79685,0.04293,0.765,0.67409,0.85558,-0.48838,0.988,0.46389,0.59924,0.16704,0.998,0.44561,0.60918,-0.16703,0.999,0.31072,0.72455,0.32266,0.471,0.29972,0.77462,-0.09643,0.989,0.16801,0.63166,0.52673,0.747,0.1614,0.63301,0.12723,0.991,0.14583,0.57583,0.54648,0.808,0.14157,0.56927,0.15049,0.982,0.11287,0.69851,0.5218,0.871,0.09825,0.70509,0.12122,0.986
1,0.81634,0.4743,-0.25602,1.0,0.8207,0.44417,-0.23772,1.0,0.81982,0.442,-0.23777,1.0,0.81894,0.43971,-0.23786,1.0,0.81825,0.44265,-0.28918,1.0,0.81567,0.43943,-0.28925,1.0,0.81272,0.43581,-0.28923,1.0,0.79286,0.42274,-0.12245,1.0,0.78573,0.41785,-0.35141,1.0,0.79964,0.48692,-0.20636,1.0,0.79661,0.48331,-0.27345,1.0,0.70738,0.48754,0.04735,1.0,0.66576,0.49636,-0.41399,1.0,0.67712,0.63484,0.12076,0.485,0.59284,0.68368,-0.4219,0.995,0.70103,0.78283,0.04825,0.753,0.63894,0.86054,-0.42114,0.997,0.73092,0.79407,0.04234,0.765,0.67026,0.88247,-0.4881,0.995,0.72841,0.79802,-0.00755,0.78,0.68096,0.86557,-0.46619,0.994,0.71398,0.79779,0.0257,0.771,0.67287,0.85565,-0.41493,0.988,0.46459,0.60686,0.1465,0.998,0.44502,0.61438,-0.14638,0.999,0.31226,0.72225,0.27861,0.49,0.29717,0.77453,-0.06628,0.989,0.1692,0.63052,0.44626,0.757,0.15622,0.63311,0.10791,0.991,0.14633,0.57603,0.46237,0.813,0.13624,0.57104,0.1236,0.982,0.11755,0.69328,0.45052,0.874,0.09641,0.7051,0.08732,0.986
2,0.81792,0.48986,-0.24705,1.0,0.82293,0.45753,-0.22962,1.0,0.82205,0.45527,-0.22966,1.0,0.82111,0.4529,-0.22976,1.0,0.82043,0.45587,-0.27737,1.0,0.81776,0.45229,-0.27744,1.0,0.81469,0.44831,-0.27738,1.0,0.79579,0.43478,-0.12007,1.0,0.78881,0.42837,-0.33362,1.0,0.80063,0.50017,-0.20017,1.0,0.79747,0.49575,-0.26167,1.0,0.71055,0.49586,0.03673,1.0,0.66825,0.5034,-0.38746,1.0,0.67717,0.63897,0.1082,0.501,0.59283,0.68812,-0.3884,0.995,0.70147,0.78504,0.04066,0.762,0.63801,0.86066,-0.38018,0.997,0.73007,0.79524,0.03199,0.772,0.67024,0.88463,-0.44134,0.995,0.7279,0.79861,-0.01271,0.786,0.68097,0.8667,-0.42429,0.994,0.71392,0.79877,0.02012,0.777,0.67211,0.85566,-0.37554,0.988,0.46533,0.61222,0.13295,0.998,0.44449,0.61759,-0.13279,0.999,0.3127,0.71997,0.25694,0.513,0.29555,0.77437,-0.0485,0.989,0.16978,0.62806,0.40989,0.769,0.15299,0.63305,0.10121,0.992,0.14645,0.57564,0.42441,0.82,0.13282,0.57124,0.11442,0.982,0.12198,0.69029,0.4153,0.879,0.09563,0.70526,0.07781,0.986
3,0.82111,0.5004,-0.24836,1.0,0.82623,0.46828,-0.23104,1.0,0.82535,0.4658,-0.23109,1.0,0.8244,0.46335,-0.23118,1.0,0.82387,0.46699,-0.27965,1.0,0.82129,0.46352,-0.27972,1.0,0.81825,0.45966,-0.27967,1.0,0.79985,0.44482,-0.12181,1.0,0.79322,0.43933,-0.33763,1.0,0.80376,0.50965,-0.20077,1.0,0.80045,0.5055,-0.26354,1.0,0.71162,0.49952,0.0265,1.0,0.67069,0.51248,-0.38789,1.0,0.67719,0.643,0.10305,0.51,0.59193,0.69064,-0.38399,0.995,0.70182,0.78721,0.03923,0.768,0.63707,0.86127,-0.36886,0.997,0.72936,0.796,0.03019,0.776,0.67059,0.88624,-0.42871,0.995,0.72766,0.79883,-0.01354,0.791,0.68122,0.86814,-0.41236,0.994,0.71389,0.79993,0.01917,0.781,0.67195,0.85613,-0.36434,0.989,0.46673,0.6144,0.12859,0.998,0.44474,0.62169,-0.12842,0.999,0.31611,0.71971,0.26036,0.531,0.2948,0.77356,-0.03305,0.989,0.17206,0.6262,0.41778,0.779,0.15243,0.63289,0.10544,0.992,0.14853,0.57523,0.43281,0.825,0.13281,0.57136,0.12028,0.982,0.12656,0.68765,0.42386,0.882,0.09565,0.70528,0.08749,0.986
4,0.82412,0.51093,-0.25817,1.0,0.82938,0.47985,-0.24159,1.0,0.82856,0.47738,-0.24162,1.0,0.82763,0.47475,-0.24172,1.0,0.82687,0.47855,-0.28692,1.0,0.82429,0.4752,-0.287,1.0,0.8212,0.47121,-0.2869,1.0,0.80308,0.45562,-0.13344,1.0,0.79606,0.45026,-0.34513,1.0,0.80693,0.52035,-0.21144,1.0,0.80329,0.51649,-0.27022,1.0,0.71406,0.50635,0.01529,1.0,0.67264,0.5203,-0.39764,1.0,0.67728,0.64285,0.10611,0.523,0.5907,0.69136,-0.39047,0.995,0.70247,0.78701,0.04347,0.778,0.63626,0.86132,-0.36398,0.997,0.72933,0.79568,0.03576,0.785,0.67059,0.88661,-0.42222,0.995,0.72765,0.79793,-0.01237,0.799,0.68122,0.86809,-0.40749,0.994,0.71398,0.79951,0.02092,0.788,0.67177,0.856,-0.35961,0.989,0.46856,0.61919,0.12936,0.998,0.44489,0.62316,-0.12921,0.999,0.32052,0.72018,0.27253,0.552,0.29483,0.77264,-0.02301,0.989,0.17574,0.62621,0.44184,0.788,0.15286,0.631,0.13107,0.992,0.15034,0.57576,0.45805,0.831,0.13306,0.57118,0.14495,0.983,0.13617,0.6867,0.44759,0.887,0.09567,0.70531,0.10825,0.986
5,0.82841,0.52028,-0.26269,1.0,0.83376,0.49021,-0.2462,1.0,0.83291,0.48768,-0.24622,1.0,0.83197,0.48497,-0.24632,1.0,0.83136,0.48902,-0.2909,1.0,0.82898,0.48587,-0.29098,1.0,0.82624,0.4823,-0.29087,1.0,0.80753,0.46617,-0.1373,1.0,0.80157,0.46178,-0.34852,1.0,0.81109,0.52984,-0.21576,1.0,0.80765,0.5266,-0.27377,1.0,0.71663,0.51466,0.01308,1.0,0.67566,0.52775,-0.39721,1.0,0.67724,0.64522,0.1052,0.536,0.59029,0.69284,-0.38628,0.996,0.70277,0.78725,0.04533,0.789,0.63546,0.86132,-0.35254,0.997,0.72915,0.79568,0.0372,0.794,0.67053,0.8871,-0.40932,0.995,0.72758,0.79787,-0.0105,0.807,0.68107,0.86814,-0.39479,0.994,0.71398,0.7995,0.023,0.796,0.67143,0.85601,-0.34807,0.989,0.47099,0.62011,0.1288,0.998,0.44645,0.6247,-0.12865,0.999,0.32295,0.72002,0.27799,0.57,0.29484,0.76956,-0.01459,0.989,0.17903,0.62624,0.4486,0.797,0.15313,0.63036,0.1442,0.992,0.1528,0.57776,0.46464,0.835,0.13289,0.57125,0.15856,0.983,0.13929,0.68661,0.45511,0.891,0.09724,0.70432,0.12159,0.987
6,0.8322,0.5286,-0.26349,1.0,0.83776,0.49945,-0.24719,1.0,0.83687,0.49687,-0.24721,1.0,0.83591,0.49407,-0.24731,1.0,0.83547,0.49832,-0.2923,1.0,0.83313,0.49512,-0.29238,1.0,0.83047,0.49148,-0.29225,1.0,0.81112,0.47443,-0.13818,1.0,0.80521,0.46985,-0.35049,1.0,0.81449,0.53822,-0.21636,1.0,0.81124,0.53506,-0.27496,1.0,0.71981,0.52089,0.01428,1.0,0.67956,0.53345,-0.39862,1.0,0.67724,0.64684,0.11288,0.545,0.58982,0.69269,-0.38562,0.996,0.70275,0.78729,0.05973,0.798,0.63479,0.86129,-0.34093,0.997,0.72833,0.79577,0.05058,0.802,0.67052,0.88703,-0.39521,0.995,0.72705,0.79789,0.0081,0.814,0.68074,0.86811,-0.38192,0.994,0.71383,0.79955,0.04062,0.803,0.67059,0.85601,-0.33634,0.989,0.47245,0.62133,0.12965,0.998,0.4478,0.62709,-0.12951,0.999,0.3224,0.71812,0.2806,0.586,0.29474,0.76885,-0.01464,0.989,0.17992,0.6263,0.45066,0.805,0.15329,0.62978,0.15095,0.992,0.15404,0.57835,0.46641,0.839,0.13267,0.57081,0.16649,0.983,0.13887,0.68671,0.45661,0.894,0.0978,0.70399,0.13102,0.987
7,0.83216,0.53201,-0.25757,1.0,0.83777,0.50078,-0.24211,1.0,0.8369,0.49825,-0.24211,1.0,0.83592,0.49568,-0.2422,1.0,0.83533,0.49952,-0.28623,1.0,0.8328,0.49605,-0.2863,1.0,0.82996,0.4922,-0.28619,1.0,0.81156,0.47638,-0.13743,1.0,0.805,0.47096,-0.34014,1.0,0.81452,0.54077,-0.21211,1.0,0.81125,0.53687,-0.26908,1.0,0.72106,0.52316,0.01645,1.0,0.68191,0.53418,-0.38434,1.0,0.67772,0.64818,0.11656,0.557,0.58907,0.69234,-0.37543,0.996,0.70277,0.78702,0.07026,0.807,0.63474,0.86033,-0.33736,0.997,0.72789,0.79579,0.05993,0.81,0.67055,0.88676,-0.39038,0.995,0.72683,0.79784,0.01928,0.822,0.68058,0.86738,-0.37927,0.994,0.71381,0.79937,0.0522,0.81,0.67046,0.85577,-0.33361,0.989,0.4734,0.62261,0.12778,0.998,0.44892,0.62832,-0.12765,0.999,0.32242,0.71762,0.26759,0.603,0.29447,0.7678,-0.02426,0.989,0.18081,0.62633,0.41886,0.813,0.1531,0.62969,0.13235,0.992,0.15605,0.57864,0.43226,0.844,0.13244,0.57039,0.14492,0.983,0.13853,0.68675,0.42183,0.898,0.09703,0.70404,0.1075,0.987
8,0.83487,0.53903,-0.2576,1.0,0.84033,0.50812,-0.24212,1.0,0.83944,0.50546,-0.24212,1.0,0.83841,0.50274,-0.24221,1.0,0.83792,0.50713,-0.28681,1.0,0.83539,0.50374,-0.28688,1.0,0.83248,0.49987,-0.28679,1.0,0.81392,0.48388,-0.13639,1.0,0.80762,0.47912,-0.34326,1.0,0.81756,0.54788,-0.21199,1.0,0.81437,0.54473,-0.26969,1.0,0.72318,0.52649,0.01789,1.0,0.68457,0.54101,-0.39194,1.0,0.6782,0.6498,0.13777,0.562,0.58823,0.69203,-0.38569,0.996,0.70298,0.78689,0.11458,0.814,0.63476,0.85955,-0.34254,0.997,0.7279,0.796,0.10878,0.816,0.67065,0.88647,-0.39547,0.995,0.72689,0.79786,0.0667,0.827,0.68037,0.86683,-0.38436,0.994,0.71394,0.79932,0.09666,0.815,0.67024,0.85566,-0.33862,0.989,0.47447,0.6226,0.1299,0.998,0.45027,0.63136,-0.12978,0.999,0.32238,0.71425,0.26957,0.615,0.29405,0.76768,-0.02289,0.989,0.1816,0.62627,0.42958,0.82,0.15292,0.62933,0.13913,0.993,0.15712,0.57881,0.44469,0.848,0.13193,0.56965,0.15373,0.983,0.13915,0.68653,0.42434,0.901,0.09723,0.70318,0.11517,0.987
9,0.83657,0.54853,-0.2476,1.0,0.84304,0.51861,-0.23242,1.0,0.84224,0.51601,-0.23242,1.0,0.84129,0.51323,-0.23252,1.0,0.84059,0.51751,-0.27818,1.0,0.83815,0.51423,-0.27824,1.0,0.83532,0.51041,-0.27815,1.0,0.81718,0.49326,-0.12924,1.0,0.81078,0.48865,-0.33727,1.0,0.81918,0.55738,-0.20255,1.0,0.81593,0.55437,-0.26173,1.0,0.72611,0.53235,0.02081,1.0,0.68838,0.54667,-0.38589,1.0,0.67819,0.64979,0.15207,0.564,0.58778,0.69189,-0.38174,0.996,0.70293,0.78567,0.13759,0.82,0.63476,0.85863,-0.33428,0.997,0.72764,0.796,0.13231,0.821,0.67065,0.88494,-0.38493,0.995,0.72682,0.79786,0.09062,0.832,0.68025,0.86537,-0.37483,0.994,0.71393,0.79887,0.1198,0.82,0.67015,0.85501,-0.33063,0.989,0.47563,0.62479,0.1301,0.998,0.45157,0.63421,-0.12997,0.999,0.32342,0.713,0.27298,0.63,0.29372,0.76708,-0.02426,0.989,0.18261,0.62645,0.43606,0.827,0.1529,0.6293,0.13896,0.993,0.15767,0.57917,0.45103,0.852,0.13155,0.56813,0.15263,0.983,0.14099,0.68634,0.43681,0.904,0.09717,0.70317,0.11218,0.987
