frame_index,kp0_x,kp0_y,kp0_z,kp0_conf,kp1_x,kp1_y,kp1_z,kp1_conf,kp2_x,kp2_y,kp2_z,kp2_conf,kp3_x,kp3_y,kp3_z,kp3_conf,kp4_x,kp4_y,kp4_z,kp4_conf,kp5_x,kp5_y,kp5_z,kp5_conf,kp6_x,kp6_y,kp6_z,kp6_conf,kp7_x,kp7_y,kp7_z,kp7_conf,kp8_x,kp8_y,kp8_z,kp8_conf,kp9_x,kp9_y,kp9_z,kp9_conf,kp10_x,kp10_y,kp10_z,kp10_conf,kp11_x,kp11_y,kp11_z,kp11_conf,kp12_x,kp12_y,kp12_z,kp12_conf,kp13_x,kp13_y,kp13_z,kp13_conf,kp14_x,kp14_y,kp14_z,kp14_conf,kp15_x,kp15_y,kp15_z,kp15_conf,kp16_x,kp16_y,kp16_z,kp16_conf
10,251.04422,240.90559,0.0,1.0,261.5524,230.95799,0.0,1.0,243.51837,229.08279,0.0,1.0,276.36292,233.79634,0.0,1.0,231.91101,228.84026,0.0,1.0,300.24722,284.6506,0.0,1.0,199.2664,281.02939,0.0,1.0,313.9823,368.96368,0.0,1.0,180.04875,372.45779,0.0,1.0,269.12561,345.04843,0.0,1.0,216.09885,352.11063,0.0,1.0,281.79327,424.52502,0.0,1.0,204.97679,422.71661,0.0,1.0,321.13885,518.19073,0.0,1.0,177.26086,514.48187,0.0,1.0,331.5751,630.89044,0.0,1.0,163.77499,629.42432,0.0,1.0
11,252.5267,258.75153,0.0,1.0,263.51044,249.6521,0.0,1.0,245.37457,247.02989,0.0,1.0,277.25583,252.90939,0.0,1.0,231.93193,246.72398,0.0,1.0,296.70816,302.23059,0.0,1.0,199.30081,297.66479,0.0,1.0,315.94482,389.77762,0.0,1.0,178.10121,388.88626,0.0,1.0,267.86063,359.10416,0.0,1.0,207.26607,363.39554,0.0,1.0,279.97208,429.31293,0.0,1.0,205.21899,427.52072,0.0,1.0,321.31662,517.66138,0.0,1.0,174.34961,516.80438,0.0,1.0,334.31931,629.19843,0.0,1.0,163.33653,634.30737,0.0,1.0
12,249.89017,280.43625,0.0,1.0,261.52802,270.55914,0.0,1.0,241.45575,268.88034,0.0,1.0,278.01935,272.50351,0.0,1.0,228.38625,268.72955,0.0,1.0,297.20599,319.32901,0.0,1.0,199.41864,316.77209,0.0,1.0,312.47089,407.92126,0.0,1.0,183.91582,407.64612,0.0,1.0,265.5416,373.22638,0.0,1.0,226.44551,369.54944,0.0,1.0,279.44415,439.01697,0.0,1.0,204.29083,438.2265,0.0,1.0,323.40546,516.48456,0.0,1.0,174.806,516.72449,0.0,1.0,332.20999,626.4989,0.0,1.0,164.0827,631.30176,0.0,1.0
13,250.04541,280.80881,0.0,1.0,261.6438,270.9512,0.0,1.0,241.57338,269.23624,0.0,1.0,278.02893,272.71094,0.0,1.0,228.37201,268.81558,0.0,1.0,297.16946,319.49945,0.0,1.0,199.30878,316.39825,0.0,1.0,312.18283,408.28833,0.0,1.0,183.93852,407.08368,0.0,1.0,265.60172,372.78162,0.0,1.0,227.54594,369.44968,0.0,1.0,279.63565,439.15814,0.0,1.0,204.45108,438.17386,0.0,1.0,322.88638,517.16107,0.0,1.0,174.60271,517.11078,0.0,1.0,332.01398,626.47076,0.0,1.0,164.12383,630.89563,0.0,1.0
14,249.7935,296.5965,0.0,1.0,262.44653,286.94983,0.0,1.0,241.43936,284.08267,0.0,1.0,278.87329,287.74316,0.0,1.0,226.64398,280.99374,0.0,1.0,296.02698,332.13458,0.0,1.0,196.42319,327.60431,0.0,1.0,312.20355,423.42462,0.0,1.0,186.13049,422.00214,0.0,1.0,267.31558,386.71008,0.0,1.0,226.24507,382.87198,0.0,1.0,278.8515,450.43649,0.0,1.0,202.72423,448.82471,0.0,1.0,322.86182,514.41522,0.0,1.0,171.63724,513.0257,0.0,1.0,331.77975,625.03735,0.0,1.0,166.35275,629.81488,0.0,1.0
15,248.45601,311.05527,0.0,1.0,261.40549,301.10785,0.0,1.0,239.87535,298.57132,0.0,1.0,278.95831,302.41452,0.0,1.0,225.67451,296.44943,0.0,1.0,296.18576,345.91779,0.0,1.0,196.38744,342.06851,0.0,1.0,311.41977,435.45737,0.0,1.0,185.46732,434.94775,0.0,1.0,264.43747,396.8125,0.0,1.0,229.89665,393.5816,0.0,1.0,278.03534,460.71048,0.0,1.0,201.57048,459.44196,0.0,1.0,323.79947,510.91037,0.0,1.0,170.57076,510.40048,0.0,1.0,331.79602,625.45551,0.0,1.0,165.05399,630.90405,0.0,1.0
16,247.83495,326.24561,0.0,1.0,261.5209,316.69769,0.0,1.0,239.38362,312.90411,0.0,1.0,279.67184,317.64011,0.0,1.0,224.93895,309.01138,0.0,1.0,295.5224,359.78308,0.0,1.0,196.22466,353.35999,0.0,1.0,311.26801,448.49426,0.0,1.0,188.81767,446.37149,0.0,1.0,262.7764,401.80084,0.0,1.0,232.45467,401.09317,0.0,1.0,277.43115,469.8468,0.0,1.0,200.57481,467.49521,0.0,1.0,331.09695,514.2973,0.0,1.0,174.15291,512.62067,0.0,1.0,330.18558,626.15393,0.0,1.0,163.70505,633.61407,0.0,1.0
17,247.50212,337.845,0.0,1.0,261.42136,328.16071,0.0,1.0,239.05069,324.4939,0.0,1.0,279.84674,328.87448,0.0,1.0,224.54935,320.4595,0.0,1.0,296.77185,370.56528,0.0,1.0,195.60028,365.35831,0.0,1.0,313.52032,461.03656,0.0,1.0,188.26941,460.7486,0.0,1.0,265.53745,417.19949,0.0,1.0,229.41048,415.14444,0.0,1.0,279.06537,480.95621,0.0,1.0,201.47702,478.86774,0.0,1.0,329.90466,515.57983,0.0,1.0,171.86798,513.63208,0.0,1.0,330.54047,627.10199,0.0,1.0,165.75522,633.91791,0.0,1.0
18,247.58368,337.94131,0.0,1.0,261.51028,328.27652,0.0,1.0,239.12466,324.56079,0.0,1.0,279.84122,328.97653,0.0,1.0,224.50069,320.44559,0.0,1.0,296.66824,370.58838,0.0,1.0,195.46291,365.30652,0.0,1.0,313.60672,461.03165,0.0,1.0,188.19475,460.79663,0.0,1.0,265.62219,417.2063,0.0,1.0,229.1664,415.45813,0.0,1.0,278.99667,480.91147,0.0,1.0,201.39288,478.79874,0.0,1.0,329.96609,515.55341,0.0,1.0,171.87943,513.58942,0.0,1.0,330.521,627.17474,0.0,1.0,165.76233,634.06104,0.0,1.0
19,247.86086,347.74884,0.0,1.0,261.48761,337.24396,0.0,1.0,238.38754,334.47299,0.0,1.0,280.04904,337.77698,0.0,1.0,223.24663,331.53415,0.0,1.0,297.46289,381.03659,0.0,1.0,195.17314,376.22217,0.0,1.0,313.37955,473.44757,0.0,1.0,187.28714,472.30139,0.0,1.0,265.00656,423.26544,0.0,1.0,230.06584,422.4212,0.0,1.0,277.85376,493.32962,0.0,1.0,199.45207,491.32928,0.0,1.0,329.65555,512.01379,0.0,1.0,171.17639,509.47653,0.0,1.0,330.90274,629.78107,0.0,1.0,165.78181,634.62549,0.0,1.0
20,247.66505,356.69949,0.0,1.0,260.91464,345.58795,0.0,1.0,237.69569,343.87701,0.0,1.0,280.63156,346.12753,0.0,1.0,223.59976,342.46283,0.0,1.0,299.75201,390.70236,0.0,1.0,197.30528,386.81937,0.0,1.0,313.04834,482.57471,0.0,1.0,185.78662,481.56375,0.0,1.0,263.73203,430.60962,0.0,1.0,230.58876,433.87659,0.0,1.0,279.57617,503.60648,0.0,1.0,201.33864,501.81134,0.0,1.0,329.46625,511.15076,0.0,1.0,172.5,508.7612,0.0,1.0,330.91324,630.12152,0.0,1.0,166.29022,633.92456,0.0,1.0
21,247.57523,365.05048,0.0,1.0,262.03043,354.98227,0.0,1.0,238.70055,351.31015,0.0,1.0,280.82925,355.1301,0.0,1.0,223.67776,346.36194,0.0,1.0,298.07468,396.01761,0.0,1.0,195.08945,390.50723,0.0,1.0,313.41904,487.63702,0.0,1.0,187.30972,487.04755,0.0,1.0,263.57761,431.98755,0.0,1.0,232.42056,434.1084,0.0,1.0,283.87521,508.11859,0.0,1.0,205.83554,506.48975,0.0,1.0,329.84787,509.0217,0.0,1.0,172.03999,510.37128,0.0,1.0,327.11279,626.50623,0.0,1.0,169.52457,639.78601,0.0,1.0
22,248.86316,370.6897,0.0,1.0,261.34802,359.32358,0.0,1.0,238.99184,357.88965,0.0,1.0,279.15244,358.19513,0.0,1.0,224.15291,354.95673,0.0,1.0,297.6171,402.68661,0.0,1.0,197.756,399.11212,0.0,1.0,309.60101,497.39468,0.0,1.0,187.33083,492.13718,0.0,1.0,264.65317,439.40424,0.0,1.0,232.59546,435.38876,0.0,1.0,280.47174,512.54785,0.0,1.0,205.77087,511.9068,0.0,1.0,324.67743,511.19562,0.0,1.0,176.44661,513.6109,0.0,1.0,330.8244,626.97778,0.0,1.0,170.79686,637.77106,0.0,1.0
23,248.83983,375.14322,0.0,1.0,261.31424,363.54156,0.0,1.0,238.66864,362.36154,0.0,1.0,279.12875,363.12308,0.0,1.0,223.55849,360.4382,0.0,1.0,297.86929,409.00073,0.0,1.0,197.84683,405.73361,0.0,1.0,309.35809,501.9274,0.0,1.0,186.7079,496.63934,0.0,1.0,264.76331,444.78113,0.0,1.0,230.46353,442.08475,0.0,1.0,281.3522,519.31512,0.0,1.0,206.80444,518.70764,0.0,1.0,323.8371,511.56335,0.0,1.0,175.99445,513.8111,0.0,1.0,330.30249,627.05029,0.0,1.0,170.73735,637.3916,0.0,1.0
24,248.85495,375.1539,0.0,1.0,261.31058,363.53128,0.0,1.0,238.65752,362.39825,0.0,1.0,279.11349,363.11981,0.0,1.0,223.52934,360.53,0.0,1.0,297.90039,408.96915,0.0,1.0,197.86034,405.82584,0.0,1.0,309.37866,501.76291,0.0,1.0,186.7386,496.59546,0.0,1.0,264.80533,444.85098,0.0,1.0,230.74156,441.84393,0.0,1.0,281.51675,519.26703,0.0,1.0,206.94841,518.71387,0.0,1.0,323.73724,511.41803,0.0,1.0,175.84764,513.70386,0.0,1.0,330.29294,627.06158,0.0,1.0,170.74002,637.32404,0.0,1.0
25,248.82715,378.73395,0.0,1.0,261.40631,367.35327,0.0,1.0,238.97569,365.72949,0.0,1.0,279.02917,366.06393,0.0,1.0,223.9315,362.35251,0.0,1.0,298.24097,411.08783,0.0,1.0,197.59076,407.62405,0.0,1.0,309.11044,504.14706,0.0,1.0,187.58487,499.69827,0.0,1.0,264.02417,445.50327,0.0,1.0,230.76549,443.56537,0.0,1.0,283.10303,521.73517,0.0,1.0,208.481,520.88116,0.0,1.0,323.50891,513.47675,0.0,1.0,175.53052,514.85413,0.0,1.0,329.49069,626.75061,0.0,1.0,171.81839,636.54993,0.0,1.0
26,248.77908,378.68985,0.0,1.0,261.31375,367.40182,0.0,1.0,238.96512,365.71741,0.0,1.0,278.94748,366.24716,0.0,1.0,224.06903,362.47769,0.0,1.0,298.0379,411.569,0.0,1.0,197.61101,407.17752,0.0,1.0,308.70767,504.63312,0.0,1.0,187.51819,498.68918,0.0,1.0,263.35486,444.61722,0.0,1.0,230.99442,444.25058,0.0,1.0,281.24579,522.11633,0.0,1.0,206.69804,520.77032,0.0,1.0,323.23102,513.79852,0.0,1.0,175.69727,514.29987,0.0,1.0,329.24637,626.82556,0.0,1.0,171.45531,635.73029,0.0,1.0
27,249.15138,375.72723,0.0,1.0,261.52878,363.99319,0.0,1.0,238.68381,362.86475,0.0,1.0,279.50037,363.24109,0.0,1.0,223.42662,360.88748,0.0,1.0,298.98962,409.60193,0.0,1.0,198.14,405.52438,0.0,1.0,309.74686,502.97189,0.0,1.0,186.74374,495.72202,0.0,1.0,264.82001,444.37125,0.0,1.0,230.345,441.68637,0.0,1.0,281.48181,519.55463,0.0,1.0,206.49214,518.26117,0.0,1.0,323.78708,513.34686,0.0,1.0,176.07462,513.65125,0.0,1.0,329.77222,627.61432,0.0,1.0,169.85457,635.08405,0.0,1.0
28,249.10887,375.77545,0.0,1.0,261.47675,363.92499,0.0,1.0,238.55049,362.89914,0.0,1.0,279.66412,362.97778,0.0,1.0,223.42538,360.9075,0.0,1.0,299.26315,409.34064,0.0,1.0,198.23943,405.61682,0.0,1.0,309.62378,502.97693,0.0,1.0,186.75642,496.16431,0.0,1.0,265.0152,444.63531,0.0,1.0,230.89835,440.97684,0.0,1.0,281.43359,519.24615,0.0,1.0,206.36894,518.09814,0.0,1.0,324.1962,513.07489,0.0,1.0,176.51421,513.41785,0.0,1.0,329.43018,627.34705,0.0,1.0,169.64801,634.60669,0.0,1.0
29,248.9619,370.55396,0.0,1.0,261.40247,359.37122,0.0,1.0,239.06929,357.68073,0.0,1.0,279.30939,358.62637,0.0,1.0,224.45912,354.96729,0.0,1.0,299.05969,403.49197,0.0,1.0,198.4364,398.97296,0.0,1.0,310.1875,496.65106,0.0,1.0,186.84183,490.04071,0.0,1.0,265.04599,439.22107,0.0,1.0,232.65222,435.26163,0.0,1.0,282.93521,513.88708,0.0,1.0,207.92422,512.48132,0.0,1.0,325.58545,511.50818,0.0,1.0,177.07393,511.88474,0.0,1.0,328.51132,626.04419,0.0,1.0,169.54372,633.98792,0.0,1.0
30,248.22757,360.91354,0.0,1.0,262.13489,350.71378,0.0,1.0,239.11351,347.57465,0.0,1.0,281.46829,353.05692,0.0,1.0,224.888,345.86798,0.0,1.0,300.44156,397.11136,0.0,1.0,196.46004,391.33539,0.0,1.0,315.40479,486.65945,0.0,1.0,185.80809,483.79413,0.0,1.0,265.45435,434.74277,0.0,1.0,234.91124,432.44,0.0,1.0,282.90341,506.65662,0.0,1.0,204.16644,504.31921,0.0,1.0,331.74542,513.05713,0.0,1.0,173.71794,510.68515,0.0,1.0,327.66147,629.92224,0.0,1.0,167.81561,635.2594,0.0,1.0
31,248.74567,347.1933,0.0,1.0,262.27505,337.24243,0.0,1.0,239.48744,334.0813,0.0,1.0,280.45163,341.17746,0.0,1.0,224.13499,334.14243,0.0,1.0,299.57458,386.1463,0.0,1.0,195.23233,381.26871,0.0,1.0,319.07187,474.59213,0.0,1.0,184.12535,472.81311,0.0,1.0,268.97937,434.38046,0.0,1.0,227.82716,428.22198,0.0,1.0,281.01895,493.35931,0.0,1.0,201.68639,491.00897,0.0,1.0,333.13864,514.77887,0.0,1.0,172.18198,510.97256,0.0,1.0,330.15186,630.91852,0.0,1.0,163.82033,632.72241,0.0,1.0
32,249.10181,330.95319,0.0,1.0,262.21384,322.08365,0.0,1.0,240.88654,318.27795,0.0,1.0,279.02902,327.3508,0.0,1.0,225.82642,318.66257,0.0,1.0,298.54745,372.50473,0.0,1.0,195.69466,366.5267,0.0,1.0,321.15762,455.36859,0.0,1.0,181.45364,454.70227,0.0,1.0,269.77243,423.74371,0.0,1.0,220.74399,426.63693,0.0,1.0,282.87445,479.82422,0.0,1.0,204.53412,476.77353,0.0,1.0,332.42664,518.41003,0.0,1.0,171.40166,513.95746,0.0,1.0,331.62711,629.54199,0.0,1.0,161.94112,631.2915,0.0,1.0
33,250.03802,309.51437,0.0,1.0,262.76526,300.55051,0.0,1.0,241.42528,297.6268,0.0,1.0,279.47467,308.98602,0.0,1.0,226.43794,302.17001,0.0,1.0,300.81671,358.43912,0.0,1.0,195.58087,352.88318,0.0,1.0,324.11859,440.46515,0.0,1.0,176.47784,439.04639,0.0,1.0,272.10922,413.06912,0.0,1.0,220.30898,420.47116,0.0,1.0,284.16531,467.30453,0.0,1.0,205.20705,464.5621,0.0,1.0,327.77609,512.27838,0.0,1.0,170.97946,509.08798,0.0,1.0,331.4082,627.05884,0.0,1.0,163.25775,628.72174,0.0,1.0
34,251.37093,287.71368,0.0,1.0,262.93848,279.22238,0.0,1.0,243.57367,276.41223,0.0,1.0,277.64456,288.17679,0.0,1.0,229.38368,281.54562,0.0,1.0,300.69052,339.43591,0.0,1.0,196.62578,334.41864,0.0,1.0,324.9516,420.83533,0.0,1.0,174.47659,420.15686,0.0,1.0,272.50851,403.8316,0.0,1.0,216.08737,411.22726,0.0,1.0,285.86795,455.61328,0.0,1.0,207.76613,453.02631,0.0,1.0,327.52188,516.14673,0.0,1.0,172.00648,512.7984,0.0,1.0,333.33136,628.60132,0.0,1.0,162.02553,628.95502,0.0,1.0
35,251.60808,287.03894,0.0,1.0,262.9758,278.5722,0.0,1.0,243.85985,275.89728,0.0,1.0,277.43112,287.7963,0.0,1.0,229.84805,281.46353,0.0,1.0,300.65909,339.32428,0.0,1.0,196.90608,334.41779,0.0,1.0,324.96121,420.8006,0.0,1.0,174.40396,420.1051,0.0,1.0,272.61978,403.51941,0.0,1.0,216.4619,410.99976,0.0,1.0,285.58112,455.47836,0.0,1.0,207.6714,452.96841,0.0,1.0,327.13385,516.26385,0.0,1.0,172.08221,513.0788,0.0,1.0,333.54623,628.48334,0.0,1.0,161.96414,628.81879,0.0,1.0
36,245.85764,266.86948,0.0,1.0,254.78041,259.42181,0.0,1.0,240.5513,256.95258,0.0,1.0,266.79715,268.43552,0.0,1.0,230.77615,262.03964,0.0,1.0,297.57315,317.44061,0.0,1.0,196.45517,316.42102,0.0,1.0,321.05429,395.17581,0.0,1.0,181.74957,406.38602,0.0,1.0,276.53561,412.0654,0.0,1.0,216.85898,420.72589,0.0,1.0,284.64587,445.1337,0.0,1.0,208.78896,443.56152,0.0,1.0,324.19952,519.71283,0.0,1.0,178.12161,513.22955,0.0,1.0,332.66769,629.73859,0.0,1.0,166.83641,623.60828,0.0,1.0
37,244.51805,245.36978,0.0,1.0,253.55479,237.71992,0.0,1.0,239.86371,235.30653,0.0,1.0,266.97659,244.85013,0.0,1.0,231.17293,238.74141,0.0,1.0,296.79062,294.75027,0.0,1.0,197.85197,294.77173,0.0,1.0,327.57077,378.56528,0.0,1.0,177.33235,387.51337,0.0,1.0,308.20831,424.12988,0.0,1.0,193.38448,425.62711,0.0,1.0,284.73038,429.94565,0.0,1.0,211.01028,429.323,0.0,1.0,323.29074,522.23065,0.0,1.0,176.52794,518.7851,0.0,1.0,333.1712,630.6026,0.0,1.0,159.26299,629.60242,0.0,1.0
38,247.74338,233.08582,0.0,1.0,254.66498,225.90619,0.0,1.0,244.73932,223.0623,0.0,1.0,263.54688,229.03847,0.0,1.0,236.52,222.08008,0.0,1.0,290.32275,273.41458,0.0,1.0,202.82997,273.57297,0.0,1.0,324.90839,349.29141,0.0,1.0,179.51117,361.64871,0.0,1.0,325.84857,414.48944,0.0,1.0,174.3671,423.47409,0.0,1.0,280.52023,415.6312,0.0,1.0,214.87703,414.89542,0.0,1.0,321.22287,518.48224,0.0,1.0,182.54584,512.82172,0.0,1.0,335.74994,632.82391,0.0,1.0,158.48688,629.66479,0.0,1.0
39,245.24492,207.5256,0.0,1.0,253.36208,200.00668,0.0,1.0,241.70967,198.05727,0.0,1.0,265.5343,205.89456,0.0,1.0,233.48312,200.95822,0.0,1.0,290.45047,257.43628,0.0,1.0,199.61882,255.59491,0.0,1.0,335.19205,340.73712,0.0,1.0,172.66376,342.74484,0.0,1.0,338.79083,420.02625,0.0,1.0,156.77177,421.12903,0.0,1.0,271.49582,399.17123,0.0,1.0,203.46077,397.99414,0.0,1.0,318.18713,512.30206,0.0,1.0,177.74406,512.38971,0.0,1.0,344.11935,631.17346,0.0,1.0,155.69006,638.67578,0.0,1.0
40,246.14777,208.17082,0.0,1.0,253.99312,200.68893,0.0,1.0,242.69061,198.76643,0.0,1.0,265.51108,206.48549,0.0,1.0,234.40205,201.60397,0.0,1.0,290.54849,257.6543,0.0,1.0,199.86908,255.89714,0.0,1.0,335.39166,340.55157,0.0,1.0,172.47017,342.81598,0.0,1.0,338.86841,420.07816,0.0,1.0,156.37553,421.67703,0.0,1.0,271.50439,399.76181,0.0,1.0,203.60712,398.6423,0.0,1.0,318.1543,512.45569,0.0,1.0,177.91232,512.5412,0.0,1.0,344.3251,631.17053,0.0,1.0,155.65729,638.51971,0.0,1.0
41,245.59322,182.14803,0.0,1.0,256.19846,173.73106,0.0,1.0,238.63646,171.94905,0.0,1.0,271.24615,182.74135,0.0,1.0,226.28853,178.62437,0.0,1.0,291.70477,243.517,0.0,1.0,198.68575,242.33968,0.0,1.0,331.42133,327.49783,0.0,1.0,169.77156,332.09073,0.0,1.0,344.1015,406.14679,0.0,1.0,148.56427,412.30807,0.0,1.0,274.41904,392.86456,0.0,1.0,205.44463,391.92828,0.0,1.0,318.09592,512.00098,0.0,1.0,181.73759,511.18951,0.0,1.0,339.3432,633.63373,0.0,1.0,157.97911,639.23364,0.0,1.0
