frame_index,kp0_x,kp0_y,kp0_z,kp0_conf,kp1_x,kp1_y,kp1_z,kp1_conf,kp2_x,kp2_y,kp2_z,kp2_conf,kp3_x,kp3_y,kp3_z,kp3_conf,kp4_x,kp4_y,kp4_z,kp4_conf,kp5_x,kp5_y,kp5_z,kp5_conf,kp6_x,kp6_y,kp6_z,kp6_conf,kp7_x,kp7_y,kp7_z,kp7_conf,kp8_x,kp8_y,kp8_z,kp8_conf,kp9_x,kp9_y,kp9_z,kp9_conf,kp10_x,kp10_y,kp10_z,kp10_conf,kp11_x,kp11_y,kp11_z,kp11_conf,kp12_x,kp12_y,kp12_z,kp12_conf,kp13_x,kp13_y,kp13_z,kp13_conf,kp14_x,kp14_y,kp14_z,kp14_conf,kp15_x,kp15_y,kp15_z,kp15_conf,kp16_x,kp16_y,kp16_z,kp16_conf
10,199.91916,267.22058,0.0,1.0,195.96365,247.50819,0.0,1.0,207.78084,263.58206,0.0,1.0,234.14799,215.18565,0.0,1.0,246.13716,246.87854,0.0,1.0,303.85172,218.75407,0.0,1.0,319.72641,267.34283,0.0,1.0,363.52075,402.05634,0.0,1.0,373.98959,453.48312,0.0,1.0,295.70908,582.13721,0.0,1.0,332.0535,577.36768,0.0,1.0,573.71503,250.44559,0.0,1.0,575.94366,298.33563,0.0,1.0,796.20001,300.61243,0.0,1.0,805.23981,340.24408,0.0,1.0,1068.19519,432.85641,0.0,1.0,1053.54871,443.01917,0.0,1.0
11,192.01505,299.77957,0.0,1.0,185.5401,280.18671,0.0,1.0,196.27979,297.34125,0.0,1.0,221.78346,241.90584,0.0,1.0,228.15443,278.40454,0.0,1.0,296.02185,235.7558,0.0,1.0,306.76736,286.59399,0.0,1.0,360.42358,402.48297,0.0,1.0,365.66165,457.81757,0.0,1.0,303.76666,565.60699,0.0,1.0,342.37677,566.15796,0.0,1.0,577.81427,243.689,0.0,1.0,576.05109,292.81793,0.0,1.0,817.59473,312.89749,0.0,1.0,824.88153,352.17789,0.0,1.0,1073.4541,425.71826,0.0,1.0,1049.78967,431.36658,0.0,1.0
12,192.06883,299.75537,0.0,1.0,185.40178,279.94141,0.0,1.0,196.2048,297.33743,0.0,1.0,221.43394,241.32639,0.0,1.0,228.04732,278.42441,0.0,1.0,296.02716,235.57359,0.0,1.0,306.66199,287.28427,0.0,1.0,360.41562,402.6745,0.0,1.0,365.39014,459.06006,0.0,1.0,303.504,565.67792,0.0,1.0,342.52948,565.94348,0.0,1.0,578.66907,244.30197,0.0,1.0,576.92297,293.94775,0.0,1.0,819.22406,313.13318,0.0,1.0,826.39435,353.15527,0.0,1.0,1075.76477,426.1644,0.0,1.0,1051.3739,432.44705,0.0,1.0
13,183.47289,330.34805,0.0,1.0,177.84409,312.45441,0.0,1.0,187.04684,329.18423,0.0,1.0,220.48309,272.94769,0.0,1.0,219.26192,308.7218,0.0,1.0,305.01761,257.96881,0.0,1.0,308.2662,305.55893,0.0,1.0,369.41055,424.46936,0.0,1.0,366.42557,466.9855,0.0,1.0,302.21692,588.84961,0.0,1.0,336.23715,562.64819,0.0,1.0,599.23065,246.86081,0.0,1.0,591.2619,293.56375,0.0,1.0,823.38141,343.72278,0.0,1.0,829.40424,386.50104,0.0,1.0,1057.74512,419.50333,0.0,1.0,1032.43042,433.48358,0.0,1.0
14,175.01562,338.65106,0.0,1.0,168.56767,321.10968,0.0,1.0,178.83591,337.6188,0.0,1.0,213.76041,285.6738,0.0,1.0,214.4554,320.48157,0.0,1.0,306.53931,277.80386,0.0,1.0,309.83401,314.57953,0.0,1.0,382.61176,437.29041,0.0,1.0,372.18304,456.5152,0.0,1.0,307.94223,603.94086,0.0,1.0,329.73599,550.1485,0.0,1.0,596.98676,249.73518,0.0,1.0,589.10748,288.49246,0.0,1.0,814.31104,359.03513,0.0,1.0,815.7561,386.82465,0.0,1.0,1055.2218,429.19348,0.0,1.0,1013.88513,421.83923,0.0,1.0
15,166.04453,362.93228,0.0,1.0,154.33632,345.47687,0.0,1.0,165.14354,356.84888,0.0,1.0,186.89819,310.28088,0.0,1.0,195.86601,335.93213,0.0,1.0,300.02081,320.77332,0.0,1.0,291.69211,337.02783,0.0,1.0,401.05533,470.48169,0.0,1.0,356.38922,449.66211,0.0,1.0,344.52267,592.37445,0.0,1.0,304.49002,540.96478,0.0,1.0,651.39374,280.78729,0.0,1.0,644.00806,313.08743,0.0,1.0,878.25397,377.17426,0.0,1.0,868.21729,391.10529,0.0,1.0,1098.79578,396.75305,0.0,1.0,1048.01904,380.38577,0.0,1.0
16,183.64078,376.61768,0.0,1.0,176.02495,361.34045,0.0,1.0,187.36232,371.87555,0.0,1.0,209.82538,324.38449,0.0,1.0,213.04286,346.46115,0.0,1.0,298.9917,317.36548,0.0,1.0,295.02261,335.81671,0.0,1.0,369.01083,466.98145,0.0,1.0,358.82791,459.86328,0.0,1.0,292.42075,612.0,0.0,1.0,316.38342,559.6991,0.0,1.0,597.33759,275.83398,0.0,1.0,587.7887,306.60123,0.0,1.0,823.85406,372.42053,0.0,1.0,820.07074,379.6022,0.0,1.0,1054.23169,412.01273,0.0,1.0,1018.41376,382.92892,0.0,1.0
17,183.895,377.64453,0.0,1.0,176.22742,362.49136,0.0,1.0,187.67578,372.96179,0.0,1.0,209.59224,325.22943,0.0,1.0,212.95148,347.22952,0.0,1.0,298.29044,317.35492,0.0,1.0,294.06754,336.2164,0.0,1.0,368.0007,465.85275,0.0,1.0,357.75473,459.79175,0.0,1.0,291.40607,612.0,0.0,1.0,316.8125,560.43408,0.0,1.0,595.74896,276.22797,0.0,1.0,586.03766,307.23709,0.0,1.0,823.06934,371.37704,0.0,1.0,819.33734,378.9632,0.0,1.0,1052.07874,411.25446,0.0,1.0,1017.20892,382.70685,0.0,1.0
18,176.95958,374.28546,0.0,1.0,162.9404,357.14819,0.0,1.0,174.53822,366.96466,0.0,1.0,183.26584,326.65799,0.0,1.0,197.56372,348.86264,0.0,1.0,286.19785,359.68069,0.0,1.0,287.66327,351.84744,0.0,1.0,395.57727,492.0441,0.0,1.0,342.14182,403.92337,0.0,1.0,330.82678,612.0,0.0,1.0,258.10602,474.48438,0.0,1.0,613.81348,309.21832,0.0,1.0,618.7005,330.15002,0.0,1.0,852.90973,385.55087,0.0,1.0,861.07758,382.99469,0.0,1.0,1088.74829,400.2164,0.0,1.0,1044.75146,365.57278,0.0,1.0
19,181.96014,395.67337,0.0,1.0,167.2664,379.83707,0.0,1.0,181.12357,387.94888,0.0,1.0,183.58379,345.7688,0.0,1.0,201.59717,363.69046,0.0,1.0,286.07529,370.47144,0.0,1.0,288.02768,352.177,0.0,1.0,396.13577,495.93448,0.0,1.0,341.83377,389.37888,0.0,1.0,334.8324,612.0,0.0,1.0,271.6918,490.03546,0.0,1.0,614.56036,312.13181,0.0,1.0,619.58887,328.19638,0.0,1.0,834.17474,400.05096,0.0,1.0,845.29089,392.62277,0.0,1.0,1073.5011,408.11124,0.0,1.0,1030.56824,368.41589,0.0,1.0
