frame_index,kp0_x,kp0_y,kp0_z,kp0_conf,kp1_x,kp1_y,kp1_z,kp1_conf,kp2_x,kp2_y,kp2_z,kp2_conf,kp3_x,kp3_y,kp3_z,kp3_conf,kp4_x,kp4_y,kp4_z,kp4_conf,kp5_x,kp5_y,kp5_z,kp5_conf,kp6_x,kp6_y,kp6_z,kp6_conf,kp7_x,kp7_y,kp7_z,kp7_conf,kp8_x,kp8_y,kp8_z,kp8_conf,kp9_x,kp9_y,kp9_z,kp9_conf,kp10_x,kp10_y,kp10_z,kp10_conf,kp11_x,kp11_y,kp11_z,kp11_conf,kp12_x,kp12_y,kp12_z,kp12_conf,kp13_x,kp13_y,kp13_z,kp13_conf,kp14_x,kp14_y,kp14_z,kp14_conf,kp15_x,kp15_y,kp15_z,kp15_conf,kp16_x,kp16_y,kp16_z,kp16_conf
0,748.17365,274.31482,0.0,1.0,756.05524,265.59915,0.0,1.0,739.48322,258.58612,0.0,1.0,741.15131,257.25504,0.0,1.0,692.03821,246.24638,0.0,1.0,684.67651,303.95093,0.0,1.0,617.51685,298.1525,0.0,1.0,652.77057,399.35144,0.0,1.0,569.32996,427.50745,0.0,1.0,661.08411,482.31982,0.0,1.0,582.48572,543.99548,0.0,1.0,454.52884,388.94763,0.0,1.0,412.58368,367.44217,0.0,1.0,323.93362,477.12164,0.0,1.0,308.63028,459.02115,0.0,1.0,138.49631,450.99179,0.0,1.0,148.22855,437.29514,0.0,1.0
1,762.69812,293.28186,0.0,1.0,770.7793,284.71497,0.0,1.0,758.18915,276.41049,0.0,1.0,746.68793,275.44629,0.0,1.0,712.67938,260.39227,0.0,1.0,667.88251,315.70673,0.0,1.0,633.21393,308.5549,0.0,1.0,620.7879,394.37286,0.0,1.0,560.68646,423.50714,0.0,1.0,644.88043,478.31207,0.0,1.0,576.99469,533.58569,0.0,1.0,435.74905,400.70044,0.0,1.0,412.76535,380.53241,0.0,1.0,298.33813,478.76038,0.0,1.0,287.32675,472.4201,0.0,1.0,110.57369,452.58984,0.0,1.0,117.57087,455.16614,0.0,1.0
2,767.47992,299.74164,0.0,1.0,775.26361,291.29755,0.0,1.0,762.37128,283.17477,0.0,1.0,751.974,282.88055,0.0,1.0,716.33295,268.31824,0.0,1.0,674.96326,323.16452,0.0,1.0,636.57892,314.45169,0.0,1.0,623.78369,400.43896,0.0,1.0,556.80316,425.1069,0.0,1.0,645.22742,478.81155,0.0,1.0,576.97742,531.00677,0.0,1.0,446.77277,401.08963,0.0,1.0,421.84271,380.56223,0.0,1.0,305.27402,473.82538,0.0,1.0,294.80307,466.8812,0.0,1.0,115.49854,450.33469,0.0,1.0,123.73016,451.18918,0.0,1.0
3,774.71112,302.28729,0.0,1.0,781.69586,294.06332,0.0,1.0,769.11298,286.50146,0.0,1.0,756.77832,287.00543,0.0,1.0,721.70593,274.12766,0.0,1.0,678.15295,327.15381,0.0,1.0,641.02026,319.24451,0.0,1.0,622.27795,401.8291,0.0,1.0,556.05579,425.3591,0.0,1.0,644.47913,479.41931,0.0,1.0,576.51941,531.17413,0.0,1.0,453.36642,398.4505,0.0,1.0,429.33084,378.99652,0.0,1.0,314.37921,469.30774,0.0,1.0,306.79099,462.94131,0.0,1.0,128.98138,448.77579,0.0,1.0,137.15817,448.70428,0.0,1.0
4,763.37531,301.00894,0.0,1.0,771.26331,293.66214,0.0,1.0,755.57776,286.04581,0.0,1.0,756.40302,287.18686,0.0,1.0,708.13245,274.92056,0.0,1.0,694.66858,330.11484,0.0,1.0,629.32544,319.55524,0.0,1.0,646.56531,419.21106,0.0,1.0,560.72052,436.32224,0.0,1.0,659.06171,483.08365,0.0,1.0,579.9278,545.23792,0.0,1.0,471.63351,394.2243,0.0,1.0,430.8627,372.54449,0.0,1.0,333.95599,467.97049,0.0,1.0,322.85617,451.90421,0.0,1.0,151.34192,440.69501,0.0,1.0,161.58167,431.24939,0.0,1.0
5,761.742,306.52704,0.0,1.0,769.68842,300.13098,0.0,1.0,755.29462,292.23291,0.0,1.0,756.34094,293.85275,0.0,1.0,710.60248,280.55255,0.0,1.0,697.24109,334.29141,0.0,1.0,631.18317,323.27029,0.0,1.0,650.25085,420.96967,0.0,1.0,560.67407,437.6174,0.0,1.0,660.35413,482.41418,0.0,1.0,579.82257,545.2926,0.0,1.0,476.75644,394.77747,0.0,1.0,435.73779,373.08176,0.0,1.0,336.26752,464.47559,0.0,1.0,324.59146,449.65814,0.0,1.0,156.13162,436.09134,0.0,1.0,167.52234,429.28561,0.0,1.0
6,763.14105,309.26096,0.0,1.0,771.68225,302.1911,0.0,1.0,755.92236,294.94907,0.0,1.0,760.12848,294.84494,0.0,1.0,709.83466,282.86087,0.0,1.0,699.56903,334.17407,0.0,1.0,629.95221,325.59616,0.0,1.0,655.53265,419.89856,0.0,1.0,557.58539,439.60605,0.0,1.0,660.81885,481.06061,0.0,1.0,576.63641,546.42676,0.0,1.0,477.01761,393.05481,0.0,1.0,433.49872,373.65277,0.0,1.0,340.11771,460.97202,0.0,1.0,327.4198,454.72415,0.0,1.0,156.53326,424.04489,0.0,1.0,168.77173,430.76379,0.0,1.0
7,763.61749,308.59857,0.0,1.0,772.10297,301.70953,0.0,1.0,756.01813,294.16452,0.0,1.0,759.49402,295.51022,0.0,1.0,708.66254,282.89371,0.0,1.0,698.55133,336.15118,0.0,1.0,628.72229,326.0639,0.0,1.0,655.28094,421.11191,0.0,1.0,557.6626,438.85138,0.0,1.0,661.23224,480.79504,0.0,1.0,576.41479,545.75494,0.0,1.0,473.78714,394.83627,0.0,1.0,430.06427,374.23297,0.0,1.0,336.02515,463.47418,0.0,1.0,322.78241,454.52353,0.0,1.0,150.27383,424.26822,0.0,1.0,162.43491,427.07355,0.0,1.0
8,766.54279,315.29239,0.0,1.0,777.24231,308.44693,0.0,1.0,759.66077,300.22,0.0,1.0,766.73798,302.33279,0.0,1.0,711.99127,287.52689,0.0,1.0,701.35272,341.5744,0.0,1.0,627.086,330.42264,0.0,1.0,656.60565,423.05194,0.0,1.0,555.05988,441.53241,0.0,1.0,666.16467,478.73288,0.0,1.0,578.62494,548.55493,0.0,1.0,468.73099,399.92825,0.0,1.0,421.79755,379.29996,0.0,1.0,328.16116,464.39624,0.0,1.0,311.68298,456.47519,0.0,1.0,150.41498,421.44434,0.0,1.0,162.11823,427.2937,0.0,1.0
9,764.1676,325.04886,0.0,1.0,774.74628,318.39029,0.0,1.0,758.01624,309.40195,0.0,1.0,765.34637,310.98737,0.0,1.0,712.36499,294.49899,0.0,1.0,702.58179,348.84482,0.0,1.0,628.57208,334.24573,0.0,1.0,655.55084,430.97446,0.0,1.0,552.11322,443.5845,0.0,1.0,665.60754,480.10898,0.0,1.0,578.26764,547.84644,0.0,1.0,476.90009,403.85928,0.0,1.0,430.22162,381.75339,0.0,1.0,335.38559,466.79828,0.0,1.0,317.81351,455.78943,0.0,1.0,155.45107,420.81918,0.0,1.0,166.11787,422.91046,0.0,1.0
10,784.0603,337.05457,0.0,1.0,794.72681,329.14359,0.0,1.0,780.10565,320.04916,0.0,1.0,779.14288,320.00525,0.0,1.0,735.95239,302.40433,0.0,1.0,698.38379,357.00116,0.0,1.0,648.17297,342.56595,0.0,1.0,640.22424,417.36212,0.0,1.0,550.65814,431.92764,0.0,1.0,656.54169,475.75998,0.0,1.0,575.55261,540.72321,0.0,1.0,467.75632,408.99969,0.0,1.0,435.69489,388.70221,0.0,1.0,326.95895,468.75311,0.0,1.0,314.29803,465.7099,0.0,1.0,154.4418,420.45554,0.0,1.0,160.31863,430.69226,0.0,1.0
11,789.22729,343.83337,0.0,1.0,800.61511,335.63602,0.0,1.0,785.41101,326.78262,0.0,1.0,785.12469,325.95587,0.0,1.0,740.87207,308.66577,0.0,1.0,701.15198,361.55237,0.0,1.0,651.34235,348.10565,0.0,1.0,641.53564,418.21915,0.0,1.0,552.34778,433.73279,0.0,1.0,659.30157,476.98654,0.0,1.0,575.69043,542.37195,0.0,1.0,466.65503,413.00372,0.0,1.0,434.55789,393.43506,0.0,1.0,326.46692,471.43121,0.0,1.0,313.98181,470.4234,0.0,1.0,159.88239,419.82932,0.0,1.0,164.79379,433.18427,0.0,1.0
